PG.ProteinGroups	PG.Genes	[1] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A10_S28.raw.PG.Quantity	[2] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A11_S32.raw.PG.Quantity	[3] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A1_S01.raw.PG.Quantity	[4] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A2_S04.raw.PG.Quantity	[5] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A3_S07.raw.PG.Quantity	[6] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A4_S10.raw.PG.Quantity	[7] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A5_S13.raw.PG.Quantity	[8] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A6_S16.raw.PG.Quantity	[9] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A7_S19.raw.PG.Quantity	[10] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A8_S22.raw.PG.Quantity	[11] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A9_S25.raw.PG.Quantity	[12] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B10_S29.raw.PG.Quantity	[13] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B11_S33.raw.PG.Quantity	[14] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B12_S35.raw.PG.Quantity	[15] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B1_S02.raw.PG.Quantity	[16] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B2_S05.raw.PG.Quantity	[17] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B3_S08.raw.PG.Quantity	[18] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B4_S11.raw.PG.Quantity	[19] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B5_S14.raw.PG.Quantity	[20] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B6_S17.raw.PG.Quantity	[21] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B7_S20.raw.PG.Quantity	[22] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B8_S23.raw.PG.Quantity	[23] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B9_S26.raw.PG.Quantity	[24] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C10_S30.raw.PG.Quantity	[25] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C11_S34.raw.PG.Quantity	[26] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C12_S36.raw.PG.Quantity	[27] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C1_S03.raw.PG.Quantity	[28] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C2_S06.raw.PG.Quantity	[29] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C3_S09.raw.PG.Quantity	[30] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C4_S12.raw.PG.Quantity	[31] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C5_S15.raw.PG.Quantity	[32] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C6_S18.raw.PG.Quantity	[33] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C7_S21.raw.PG.Quantity	[34] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C8_S24.raw.PG.Quantity	[35] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C9_S27.raw.PG.Quantity	[36] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_D1_S37.raw.PG.Quantity	[37] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_D2_S40.raw.PG.Quantity	[38] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_E1_S38.raw.PG.Quantity	[39] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_E2_S41.raw.PG.Quantity	[40] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_F1_S39.raw.PG.Quantity	[41] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_F2_S42.raw.PG.Quantity
Q4QR85	Wdr77	32.915138244628906	NaN	141.5119171142578	135.73719787597656	182.44491577148438	137.5325164794922	95.68162536621094	125.61538696289062	145.61734008789062	63.183937072753906	99.7395248413086	85.93276977539062	NaN	NaN	182.8489532470703	265.7995300292969	170.7616424560547	88.5267105102539	113.43289947509766	155.04856872558594	248.04443359375	67.11811065673828	120.14707946777344	84.91730499267578	NaN	NaN	171.20899963378906	35.04069137573242	99.35364532470703	210.3712615966797	41.30646896362305	89.97412109375	105.32962036132812	95.78054809570312	109.02368927001953	NaN	1510.8472900390625	1971.47509765625	1349.508056640625	2543.119873046875	2546.560791015625
Q4QR86	Depdc7	521.264892578125	NaN	172.375	39.85527801513672	80.46649169921875	107.16853332519531	120.95136260986328	188.12217712402344	255.4705047607422	428.2384338378906	271.7707824707031	548.49462890625	NaN	339.86773681640625	138.84930419921875	88.04705047607422	105.09564971923828	77.43003845214844	214.26429748535156	193.8341064453125	154.15089416503906	289.3755187988281	305.9948425292969	628.538818359375	NaN	NaN	100.70126342773438	106.0384292602539	112.3642349243164	144.74598693847656	118.90841674804688	190.1128692626953	88.50212860107422	227.49908447265625	275.2099304199219	NaN	NaN	NaN	NaN	NaN	NaN
Q4QR99	Qtrt1	NaN	NaN	41.209476470947266	NaN	NaN	NaN	60.41227722167969	95.23966979980469	NaN	24.194242477416992	53.52423858642578	61.15910339355469	NaN	NaN	34.6573600769043	17.30837059020996	NaN	NaN	72.7710952758789	NaN	74.6626205444336	70.580078125	54.68146896362305	78.26864624023438	NaN	NaN	NaN	11.873370170593262	20.445144653320312	NaN	105.9481430053711	NaN	94.88756561279297	44.930641174316406	28.676136016845703	NaN	NaN	NaN	NaN	NaN	NaN
Q4QRB2	Syf2	49.40869140625	NaN	NaN	NaN	69.8937759399414	161.26754760742188	66.1411361694336	52.762725830078125	22.041221618652344	45.035377502441406	32.5469970703125	55.07297897338867	NaN	NaN	53.646583557128906	NaN	49.39311599731445	NaN	42.79120635986328	66.09664154052734	54.26900100708008	81.13592529296875	57.966007232666016	70.35189819335938	NaN	NaN	38.823238372802734	43.298030853271484	60.53640365600586	102.76180267333984	38.487281799316406	44.2336540222168	53.455413818359375	53.10353088378906	42.19195556640625	NaN	NaN	NaN	NaN	NaN	NaN
Q4QRB4	Tubb3	9602.2734375	NaN	35285.15234375	24062.896484375	10718.7431640625	59431.875	3118.507568359375	3591.43701171875	7393.1923828125	11318.697265625	11088.87890625	20146.779296875	NaN	NaN	21846.5078125	80471.84375	15177.453125	61579.34765625	6593.78125	4382.806640625	3631.696044921875	8243.71484375	9581.4267578125	10677.5966796875	NaN	NaN	23222.31640625	96177.0390625	16802.919921875	34243.53125	5992.28955078125	2517.00146484375	3993.02001953125	6261.6435546875	17510.56640625	35910.3984375	34350.8671875	54810.6484375	60623.55078125	34275.9921875	9676.55859375
Q4R180	Orc3	19.0583553314209	NaN	22.295501708984375	25.697721481323242	26.62992286682129	46.03050231933594	34.07755661010742	45.76378631591797	26.407453536987305	45.634910583496094	50.857723236083984	75.08490753173828	NaN	NaN	33.17322540283203	NaN	40.00971221923828	42.68467712402344	44.67149353027344	29.440845489501953	53.130977630615234	42.45734786987305	57.68144989013672	50.34868240356445	NaN	NaN	27.45853614807129	NaN	35.46857452392578	80.72942352294922	73.00745391845703	36.27824020385742	81.35800170898438	33.60255813598633	43.85538101196289	NaN	NaN	NaN	NaN	NaN	NaN
Q4TU93	Mrc2	1053.0765380859375	NaN	671.5645751953125	344.9735107421875	1371.83203125	506.6756896972656	2798.97265625	1384.0162353515625	1083.9302978515625	907.7849731445312	866.2868041992188	1109.942138671875	NaN	NaN	590.94970703125	320.3338317871094	1061.21826171875	324.0655517578125	2122.57666015625	1243.1180419921875	1642.33935546875	1249.26025390625	599.8954467773438	1344.4857177734375	NaN	NaN	486.4213562011719	250.47244262695312	998.3549194335938	384.07843017578125	2951.402099609375	1411.5731201171875	1137.8551025390625	1259.837890625	1005.6026611328125	4387.544921875	1161.5472412109375	2915.716552734375	3659.72802734375	1755.2452392578125	4788.4736328125
Q4V7A0	Skic8	518.3837280273438	1945.070068359375	327.8359069824219	588.6856689453125	435.0378112792969	819.78955078125	663.4417114257812	1051.8861083984375	681.808837890625	666.6156616210938	714.3236694335938	688.2478637695312	973.6561889648438	2719.7216796875	474.50537109375	748.2445068359375	273.14239501953125	554.2021484375	464.77679443359375	710.3677978515625	672.0804443359375	561.6473999023438	564.1175537109375	756.4620971679688	1422.256591796875	2495.028076171875	360.4240417480469	941.5262451171875	378.1763610839844	576.3666381835938	497.57330322265625	728.1356811523438	1183.8416748046875	491.3016662597656	687.5037231445312	5610.03759765625	887.8721923828125	486.7892761230469	1225.1566162109375	2996.750732421875	345.8591613769531
Q4V7A6	Phf10	NaN	NaN	NaN	NaN	NaN	NaN	19.824556350708008	NaN	NaN	NaN	NaN	18.477954864501953	2.514307737350464	46.33708572387695	11.934798240661621	9.728228569030762	NaN	NaN	4.26887845993042	NaN	NaN	1.5832823514938354	NaN	NaN	NaN	NaN	NaN	NaN	17.85114288330078	NaN	5.915132522583008	NaN	NaN	NaN	34.70180892944336	NaN	NaN	NaN	NaN	NaN	NaN
Q4V7A9	Matcap1	30.222381591796875	NaN	13.295180320739746	NaN	51.37892150878906	NaN	20.77037239074707	49.91082763671875	31.349702835083008	42.962276458740234	26.03139877319336	24.7576847076416	NaN	NaN	10.826388359069824	NaN	13.302959442138672	NaN	8.172476768493652	NaN	15.37138557434082	22.665508270263672	35.40196228027344	53.25965881347656	NaN	NaN	13.929112434387207	NaN	42.91587448120117	NaN	18.788991928100586	21.086063385009766	25.328170776367188	32.75038146972656	16.95661735534668	NaN	NaN	2.4555795192718506	NaN	NaN	NaN
